"房子名称","房子价格","房子单价","房子类型","房子地址","房子大小"
"回兴精装两房 乐信爱情屿 出入方便 直接拎包入住","67","14255元/㎡","2室2厅1卫","乐信爱琴屿-双凤桥二手房出售-康兴路2号","47㎡"
"沙坪坝 华宇金沙港湾B区 精装3室2厅 满五税费少","133","12666元/㎡","3室2厅2卫","华宇金沙港湾...-土湾二手房出售-华宇金沙港湾8号","105㎡"
"渝北两江新区豪装大4房220万，拎包入住视野好居家房源","220","15492元/㎡","4室2厅2卫","绿地翠谷四期-农业园区二手房出售-湖云街1号","142㎡"
"蓝湖郡西岸端户 花园150 内圈位置安静  采光好","550","24229元/㎡","4室3厅4卫","龙湖蓝湖郡西...-汽博中心二手房出售-龙宁路65号","227㎡"
"精装修大3房，视野开阔，位置安静，交通方便，绿地大开发商","170","13600元/㎡","3室2厅2卫","绿地翠谷-鸳鸯二手房出售-湖云街1号","125㎡"
"照母山买精装2房就看这套，视野好协信星都会，全新住家","120","18518元/㎡","2室2厅1卫","协信星都会-人和二手房出售-金山大道203号","64㎡"
"业主诚心急售，可按揭首付非常的低，万达商圈旁精装修大两房","41","4659元/㎡","2室2厅1卫","嘉和圣托里尼-凤凰大道88号","88㎡"
"杨家坪 毛线沟动物园 精装新房带家电家具","40","12500元/㎡","1室1厅1卫","蚂蚁公馆-石坪桥二手房出售-杨渡路,近兴堰路","32㎡"
"月租3000 三轻轨地段 总价34万 精装酒店公寓","34","13076元/㎡","1室1厅1卫","中航九悦荟-二郎二手房出售-火炬大道5号","26㎡"
"回兴 南方玫瑰城 精装修 2房 小高层洋房 环境优美 宜居住","102","13246元/㎡","2室2厅1卫","南方玫瑰城红...-回兴二手房出售-锦华一路1号","77㎡"
"新区府附近交通便利地段好户型方正正三室带屋顶花园性价比高","38.8","4172元/㎡","3室2厅1卫","新塔还建房-沙坪坝周边二手房出售-双星大道8号","93㎡"
"城北红桂林正规一室一厅精装可读名校","62","11923元/㎡","1室1厅1卫","正隆红桂林-城南新区二手房出售-缙云大道29号","52㎡"
"石柱安置房业主因调动工作，诚心出售。","39","7784元/㎡","2室2厅1卫","西永安置房-西永二手房出售-西城大道,近赖白路","50㎡"
"西永安置房 3室 大阳台 户型房正","60","7585元/㎡","3室1厅1卫","西永安置房-西永二手房出售-西城大道,近赖白路","79㎡"
"带平台的高档小区，读玉屏小学的学区房，精装三房，","69.8","8116元/㎡","3室2厅1卫","海德棠城-宝城路一段221号","86㎡"
"悦榕公馆正三房，豪华装修，业主急售","67","7613元/㎡","3室2厅1卫","荣昌悦榕公馆-国泰路107号","88㎡"
"风景区联排端户 赠送1.5亩大花园 还是精装修 只要235万","235","10829元/㎡","5室2厅4卫","海兰云天假日...-金凤二手房出售-煤厂公路","217㎡"
"白龙大道龙轩大地三房出售中间楼层朝中庭业主诚","46.8","6685元/㎡","3室2厅1卫","龙轩大地-白龙大道333号","70㎡"
"城南步行街附近 正规三房 楼层适中 拎包入住","76","8395元/㎡","3室2厅1卫","金福花园-其他二手房出售-碚南大道235号","90㎡"
"融汇半岛 正宗小三房 朝中庭 价格亲民 业主安心卖 户型好哦","102","11283元/㎡","3室1厅1卫","融汇半岛二期-李家沱二手房出售-融汇大道2号","90㎡"
"北麓国际城 正规两房精装修81万 洋房区 上沙小读一中","81","12272元/㎡","2室2厅1卫","北麓国际城A...-大学城二手房出售-思贤路27号","66㎡"
"学，区，房，湖畔佳梦精装修三室二卫","83","6640元/㎡","3室2厅2卫","安成湖畔佳梦-南津街818号","125㎡"
"协信城立方 正规两房大阳台精装83万 学位房 商圈对面","83","12205元/㎡","2室2厅1卫","协信城立方一...-大学城二手房出售-大学城中路6号","68㎡"
"滨江路 电梯 3房 50.8W 82平 送露台 读7校16中","50.8","6195元/㎡","3室2厅1卫","涪陵绿地海域...-其他二手房出售-滨江大道","82㎡"
"渝北回兴纳帕溪谷精装两房 视野好 小区附近配套成熟近轻轨","87","12985元/㎡","2室2厅1卫","纳帕溪谷-回兴二手房出售-康城路8号","67㎡"
"买到就是赚，观音桥鹏润蓝海A区小户型低于市场价10万","88","16096元/㎡","1室1厅1卫","鹏润蓝海A区-北滨路二手房出售-兴竹路19号","54㎡"
"袁家岗轻轨站 聚金万佳苑 大面积小两房 性价比超高 带飘窗","70","12962元/㎡","2室1厅1卫","聚金万佳苑-谢家湾二手房出售-文化七村50号","54㎡"
"解放碑较场口地铁站旁 精装电梯两房 通燃气 出入交通方便！","96","14941元/㎡","2室1厅1卫","阳光星座-解放碑二手房出售-民生路9号","64㎡"
"天天走公园，龙腾盛世小三房精装修三房，送家具家电齐全","66.8","7678元/㎡","3室2厅1卫","龙腾盛世-塔山街120号","87㎡"
"渝北回兴复地花屿城清水类独栋5室3厅3卫户型方正采光好诚心卖","450","13636元/㎡","5室3厅3卫","复地花屿城-回兴二手房出售-兴锦路19号","330㎡"
"观音桥 北滨路 北岸江山公寓 可做民宿 宜住宜租","97","19019元/㎡","1室1厅1卫","国兴北岸江山...-北滨路二手房出售-北兴路18号","51㎡"
"杨公桥梨苑新居大两房带阳台户型，单价9000的电梯房采光好","71","8875元/㎡","2室2厅1卫","杨梨苑-磁器口二手房出售-杨梨路34号","80㎡"
"照母山 北大资源博雅二期 豪装三改二 品质装修 拎包入住","210","20689元/㎡","3室2厅2卫","北大资源博雅...-汽博中心二手房出售-湖霞街","101㎡"
"江北鎏嘉码头北滨路旁 小区房 正规三房带入户花园 精装修","150","14218元/㎡","3室2厅2卫","五江花园-五里店二手房出售-北城三路1号","105㎡"
"两江新区5.1米层高买一赠一通气公寓，近蔡家中央大街，","48","10434元/㎡","1室2厅1卫","隆鑫爱琴海(...-蔡家岗二手房出售-同华路78号","46㎡"
"庆隆高尔夫景观联排别墅  享南山森林 阅茶园风光 过田园生活","295","11706元/㎡","5室3厅4卫","庆隆南山高尔...-茶园新区二手房出售-玉马路1号","252㎡"
"润丰水尚 精装三房 客厅带阳台 朝中庭 带车位 仅售180万","180","16981元/㎡","3室2厅2卫","润丰水尚-双龙湖二手房出售-兰桂大道1号","106㎡"
"新出炉房源 安纳溪湖 背山面湖 视野开阔 看房方便 欢迎来电","80","12307元/㎡","3室2厅1卫","光华安纳溪湖-茶园新区二手房出售-米兰大道19号","65㎡"
"南坪协信城 1室1厅 精装拎包入住好出租","99","18000元/㎡","2室1厅1卫","协信城-南坪二手房出售-南城大道1号","55㎡"
"回兴宝圣湖旁莲花半岛，精装大三房只要155万，低于市场价十万","155","12809元/㎡","3室2厅2卫","莲花半岛-回兴二手房出售-宝桐路1号附31号","121㎡"
"保亿湖山鹿鸣，茶园新晋叠拼，总价180万，指标，送产权车位","179","12260元/㎡","4室2厅2卫","融创欧麓花园...-界石二手房出售-甘泉路288号","146㎡"
"庆隆高尔夫国际社区花园联排，高尔夫球场景观视野开阔靠近出口","368","14263元/㎡","5室3厅4卫","庆隆南山高尔...-茶园新区二手房出售-玉马路1号","258㎡"
"茶园高端叠拼别墅环境超好  保亿湖山鹿鸣 带大花园产权车位","180","12000元/㎡","5室2厅2卫","融创欧麓花园...-界石二手房出售-甘泉路288号","150㎡"
"碧桂园 麓铭府 套内面积96 三房  单价1w1左右","105","10937元/㎡","3室2厅2卫","麓铭府-界石二手房出售-东城大道","96㎡"
"江北观音桥 读鲤鱼池小学对口十八中 中装三室 位置好 邻轻轨","120","12631元/㎡","3室2厅1卫","鲤鱼池四村-五里店二手房出售-鲤鱼池路","95㎡"
"3号线轻轨旁 亚太商谷精装单配50万 拎包入住 业主住家装修","50","13157元/㎡","1室1卫","亚太商谷-南坪二手房出售-亚太路1号","38㎡"
"首创付175万 上下3层实际使用面积500平 带100平花园","400","19801元/㎡","8室3厅5卫","首创鸿恩国际...-大石坝二手房出售-红石路138号","202㎡"
"庆隆山外山 远瞰整个茶园 视野超好 送花园300平大花园","600","16438元/㎡","4室2厅5卫","山外山-茶园新区二手房出售-玉马路1号","365㎡"
"照母山法式联排，单层面积100，带车位和花园。可直接上照母山","395","15490元/㎡","5室3厅5卫","融创凡尔赛花...-加洲新牌坊二手房出售-星光大道99号","255㎡"
"照母山融创品质，精装公寓，拎包入住，门口就是轻轨站，4所学校","43","15357元/㎡","1室1厅1卫","康桥融府(商...-汽博中心二手房出售-湖霞街1号","28㎡"
"沙坪坝 双巷子 正规三房 带沙小指标 户型方正 邻地铁","100","10309元/㎡","3室1厅1卫","双巷子社区-三峡广场二手房出售-三峡广场步行街6号","97㎡"
"40.8万抢南阳黄金楼层精装3室","40.8","3212元/㎡","3室2厅2卫","南滨师苑-桂南大道226号","127㎡"
"大竹林轻轨旁 精装3房 金科天元道 特价出售","150","16025元/㎡","3室2厅1卫","金科天元道-大竹林二手房出售-斑竹路8号","93㎡"
"沙坪坝 1号线旁 华宇星云汇 正规精装修两房 66万 ！","70","10447元/㎡","2室2厅1卫","华宇星云汇-磁器口二手房出售-杨梨路19号","67㎡"
"爱尚里，稀缺精装大四室两厅两卫，小区配套齐全，交通方便","88.8","8621元/㎡","4室2厅2卫","美丽泽京爱尚...-金龙大道","103㎡"
"大学城金科廊桥天都 精装三房 朝中庭 近一中 读树人 近轻轨","100","12345元/㎡","3室2厅1卫","金科廊桥天都-大学城二手房出售-大学城南二路1080号","81㎡"
"曾经的梦想，如今的好房，只要175万，值得拥有","175","14874元/㎡","3室2厅2卫","森岭居-黄泥磅二手房出售-龙头寺路50号","117㎡"
"沙坪坝 瓷器口 三千城 精装三室两厅 安静  适合住家","168","15000元/㎡","3室2厅2卫","国盛三千城-磁器口二手房出售-磁建村88号","112㎡"
"买房现在观望 明天失望 大后天绝望 业主心态稳定 好谈价","173","13840元/㎡","3室2厅2卫","森岭居-黄泥磅二手房出售-龙头寺路50号","125㎡"
"袁家岗轻轨站 聚金万佳苑 大面积小两房 性价比超高 带飘窗","70","12962元/㎡","2室1厅1卫","聚金万佳苑-谢家湾二手房出售-文化七村50号","54㎡"
"大门口在建轻轨，花园洋房，豪华装修业主出售，业主回来处理房子","420","29515元/㎡","3室2厅2卫","中渝梧桐郡-龙头寺二手房出售-兴胜支路1号","142㎡"
"璧山秀湖边联排别墅193万起可按揭共350平米五层80平花园","193","12062元/㎡","5室2厅3卫","秀湖鹭岛-雪山路","160㎡"
"正规两房带500平米大露台急售实惠","125","15243元/㎡","2室2厅2卫","晋愉V时代-二郎二手房出售-科技大道","82㎡"
"富力城河畔里现房公寓 28万直接认购 轻轨2号出口","39.5","8977元/㎡","1室1卫","富力城河畔里-大学城二手房出售-大学城南路20号","44㎡"
"保利香槟精装三房，装修保养好！轻轨双线！出行方便 ！拎包入住","165","17985元/㎡","3室1厅1卫","保利香槟花园...-龙头寺二手房出售-文慧路17号","91㎡"
"远林19栋1单元1一2周边生活设施齐全北街斤幼儿园北街小学","54.8","4732元/㎡","3室2厅1卫","远林名苑A区-远林一街4号","115㎡"
"老巴中学.区房 华夏康城清水洋房任性随心装","52.8","5802元/㎡","3室2厅1卫","华夏康城-龙门西街338号","91㎡"
"的环境，的楼层，方便的交通，的房诚心出售","125","13586元/㎡","3室2厅1卫","渝景新天地-九龙二手房出售-渝州路,近经纬大道","92㎡"
"石桥铺轻轨出口 富洲新城 华宇时代星都旁 精装三房 住家安静","130","15853元/㎡","3室2厅1卫","大城小爱-石桥铺二手房出售-联芳桥13号","82㎡"
"鱼胡路轻轨房 邻换乘枢纽站 一城龙洲精装三房 交通繁华临万达","90","10227元/㎡","3室2厅1卫","一城龙洲-鱼洞二手房出售-鱼胡路25号","88㎡"
"轻轨站旁 世茂茂悦府大3房，视野好，户型方正，诚心出售","148","20027元/㎡","3室2厅1卫","世茂茂悦府-人和二手房出售-湖红路365号","73㎡"
"加新花园二期，小区中心位置，交通生活配套成熟，业主置换诚心卖","130","14412元/㎡","2室2厅1卫","加新花园二区-人和二手房出售-人和大道108号","90㎡"
"南岸区轻轨旁现房公寓，亚朵酒店托管10年稳定租约","53","16562元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","32㎡"
"沙坪坝 瓷器口 三千城 精装三室两厅 安静  适合住家","168","15000元/㎡","3室2厅2卫","国盛三千城-磁器口二手房出售-磁建村88号","112㎡"
"买房现在观望 明天失望 大后天绝望 业主心态稳定 好谈价","173","13840元/㎡","3室2厅2卫","森岭居-黄泥磅二手房出售-龙头寺路50号","125㎡"
"特价出售 房东看好房子了 因资金不足  挥泪大甩卖","78","18139元/㎡","1室2厅1卫","紫荆商业广场-黄泥磅二手房出售-红黄路121号","43㎡"
"用专业为您护航，诚心为你担保，94平145万，超大阳台","145","15425元/㎡","3室2厅2卫","两代一家-黄泥磅二手房出售-紫荆路29号","94㎡"
"急售 品质小区 兰湖天小区 精装大两室两厅 安心出售","120","13507元/㎡","2室1厅1卫","兰湖天-四公里二手房出售-回龙路68号","88㎡"
"沙坪坝 三峡广场 一心村 平上一楼  沙小本校指标 交通方便","82","12615元/㎡","2室2厅1卫","台湾花园-三峡广场二手房出售-沙坪坝正街","65㎡"
"大龙山地铁站龙湖紫都城 住家精装三房 朝中.庭户型方正采光好","200","17391元/㎡","3室2厅2卫","龙湖紫都城-冉家坝二手房出售-余松一支路6号","115㎡"
"北滨熙岸精装2房 侧望江 拎包入住","86","9247元/㎡","2室2厅1卫","国瑞北滨熙岸-其他二手房出售-北滨路199号","93㎡"
"音乐广场附近无敌江景3房","72","6990元/㎡","3室2厅1卫","丰收小区-柱山二手房出售-北滨大道三段","103㎡"
"北滨路  一线江景 每个卧室看江 带12平方长阳台 降价啦！","248","19224元/㎡","3室2厅2卫","招商江湾城-华新街二手房出售-北滨一路363号","129㎡"
"一碗水书香美地品质小区精装两房 交通便利","67","8933元/㎡","2室2厅1卫","书香美地-回兴二手房出售-高岩路172号","75㎡"
"金科世界城，底跃32户型。前后花园。带产权车位。","252","12663元/㎡","4室2厅2卫","金科世界城洋...-茶园新区二手房出售-香溪路1号","199㎡"
"沙坪坝 西永熙地锦绣城 清水三室 靠轻轨近 带车位 划读书","110","13750元/㎡","3室2厅1卫","熙地锦绣城-西永二手房出售-西科大道666号","80㎡"
"理工雅苑2房2厅1卫，可按自己的思路装修，68万出售","68","8796元/㎡","2室2厅1卫","理工雅苑-李家沱二手房出售-红光大道68号","77㎡"
"公园电梯洋房 带装修出售 4房功能 出行方便又安静","250","15186元/㎡","4室2厅2卫","天江鼎城雅园-黄泥磅二手房出售-兴盛大道118号","164㎡"
"杨家坪彩云湖，买.一层得两层，业主急需用钱，降价处理","56","9491元/㎡","3室2厅2卫","中昂彩云台-二郎二手房出售-科城路166号","59㎡"
"南坪商圈，轻轨公交覆盖，买.一层送一层，租住皆宜","70","15555元/㎡","2室1厅2卫","升伟一里南滨...-南滨路二手房出售-南坪东路二巷20号","45㎡"
"真实有效 安纳西湖品质两房 临近各大商圈 投 资居家好选择","93","12916元/㎡","2室2厅1卫","光华安纳溪湖-茶园新区二手房出售-米兰大道19号","72㎡"
"协信跃层花园洋房豪华装修地暖中央空调 q全部进口实木家具","210","25000元/㎡","3室2厅2卫","协信星都会春...-人和二手房出售-吉兴路9号","84㎡"
"海宇西苑 带屋顶花园 清水大三房 带双外阳台 朝中庭1梯2户","138","11405元/㎡","3室2厅2卫","海宇西苑-城南新区二手房出售-安礼路80号","120㎡"
"锦江映象，精装大四房错层结构，面朝小区清静好房","88.8","6209元/㎡","4室2厅2卫","锦江苑小区-大有正街108号","143㎡"
"金科天籁城 精装三室 视野开阔 环境优美","70","8139元/㎡","3室2厅1卫","金科天籁城-其他二手房出售-宏声大道52号","86㎡"
"九曲河轻轨站，东原江山樾，法式上叠赠露台40平大五房，带车位","268","14888元/㎡","5室2厅4卫","江山樾-大竹林二手房出售-金通大道,近平祥路","180㎡"
"照母山双轻轨站 精装带智能家居家电 拎包入住 环境好","46","15333元/㎡","1室1厅1卫","康桥融府-汽博中心二手房出售-湖霞街1号","30㎡"
"渝中区大平层豪宅 国宾壹号院 超低密度 电梯入户 私人管家","308","16739元/㎡","4室2厅2卫","国宾壹号院-石桥铺二手房出售-虎歇路49号","184㎡"
"渝北网红照母山 轻轨站旁小户型公寓 精装带家具家电 拎包入住","46","16428元/㎡","1室1卫","康桥融府(商...-汽博中心二手房出售-湖霞街1号","28㎡"
"彩云湖公园边大三房急售急售急售","168","12923元/㎡","3室2厅2卫","渝高新城星座-二郎二手房出售-迎宾大道35号","130㎡"
"好房还在好房还在 纳帕溪谷精装修三房 近各大商圈，近学校","125","13297元/㎡","3室2厅1卫","纳帕溪谷-回兴二手房出售-康城路8号","94㎡"
"首创德尔菲谷精装洋房 背靠洪恩寺 坐北正朝南 聚财之地","275","21653元/㎡","4室2厅2卫","首创德尔菲谷-大石坝二手房出售-红石路98号","127㎡"
"站西路金阳牛津街正规两房 首付只要35万 业主呈现出售","90","12244元/㎡","2室2厅1卫","金阳牛津街-杨公桥二手房出售-杨梨路60号","73㎡"
"地铁1号线 万科锦程正规2房 住家装修 保养好","143.5","19902元/㎡","2室2厅1卫","万科锦程-大坪二手房出售-大坪正街160号","72㎡"
"加新花园二期，小区中心位置，交通生活配套成熟，业主置换诚心卖","130","14412元/㎡","2室2厅1卫","加新花园二区-人和二手房出售-人和大道108号","90㎡"
"南岸区轻轨旁现房公寓，亚朵酒店托管10年稳定租约","53","16562元/㎡","1室1厅1卫","天景美梦城真-学府大道二手房出售-学府大道69号","32㎡"
"鸳鸯融科金湖湾旁 北湖郡 精装三房 全新装修 拎包入住","145","15143元/㎡","3室2厅2卫","鸳鸯北湖郡-鸳鸯二手房出售-金开大道1115号","95㎡"
"两江新区，奢华大平层，270看嘉陵江，配套成熟，住家安静","160","11347元/㎡","4室2厅2卫","渝能嘉湾壹号-蔡家岗二手房出售-同康路18号","141㎡"
"亲亲里精装5房底跃，可做独立的2套房，只要148万，急售","158","22571元/㎡","5室2厅2卫","东原亲亲里-经开区二手房出售-丹龙路18号","70㎡"
"鱼洞滨江路 都汇里对面的房子 看江离滨江路几十米 出行方便","32","4571元/㎡","2室1厅1卫","鱼洞铜锣湾-鱼洞二手房出售-新市街","70㎡"
"江北嘴绿地保税准现房5.1米层高 双轻轨 送一层","67","13400元/㎡","2室1厅1卫","绿地保税中心-寸滩二手房出售-金渝大道138号","50㎡"
"秀湖公园旁，豪装四房，单价才6000多的北街小学学区房","94","6438元/㎡","4室3厅2卫","远林雅宇豪苑...-东林大道4号","146㎡"
"和泓品质楼盘 正规精装三房 全新装修 带家电家具 拎包入住","103","11286元/㎡","3室2厅1卫","和泓四季A区-中梁山二手房出售-华福大道北段15号","91㎡"
"急售 龙湖两江新宸旭宸 内圈独拼别墅 地下室全采光 读星光巴","538","20225元/㎡","4室2厅4卫","龙湖两江新宸...-礼嘉二手房出售-嘉和路,近礼仪路","266㎡"
"新区绿岛新天地小高层 装修清新 麻雀虽小 五脏俱全 巴适得很","45","8035元/㎡","2室2厅1卫","瀛嘉天下上界-永嘉大道110号","56㎡"
"城北缙云山下云山外电楼入户精装全朝中庭","95","11052元/㎡","2室1厅1卫","新天泽云山外-城北新区二手房出售-缙泉路99号","85㎡"
"西南大学文星湾新房子正规三室一厅楼层低","38","4418元/㎡","3室1厅1卫","文星湾新房子...-北泉路","86㎡"
"袁家岗 2015年次新小区 楼下是奥体中心 轻轨两条 近商圈","135","15697元/㎡","2室2厅1卫","上城奥悦-谢家湾二手房出售-奥体路1号","86㎡"
"照母山品质洋房 华宇上院豪华三房 送18平米面积 朝泳池急售","179","19833元/㎡","3室2厅2卫","华宇上院-人和二手房出售-金山大道18号","90㎡"
"人和棕榈泉旁 枫山秀景精装两室 首付只要30万左右 有钥匙","93","15000元/㎡","2室1厅1卫","枫山绣景-双凤桥二手房出售-万年路420号","62㎡"
"长寿香缇澜湾精装正两室两厅一卫家电齐全拎包入住全中庭房子","38.2","5457元/㎡","2室2厅1卫","香堤澜湾-凤城二手房出售-朝阳路173号","70㎡"
"巴南新鸥鹏拉菲公馆巴南教育城 巴川学校指标 品质小区 轻轨","80","8080元/㎡","3室2厅1卫","新鸥鹏教育城...-一品二手房出售-鸥鹏大道","99㎡"
"渝北新牌坊 润都世纪 中装跃层两房出售90万 双轻轨视野好","90","13636元/㎡","2室2厅2卫","润都世纪-加洲新牌坊二手房出售-太湖西路7号","66㎡"
"渝北龙头寺三号线唐家院子轻轨旁灵动小户型，小投姿高汇报","49.5","16500元/㎡","3室1厅1卫","力帆时代-龙头寺二手房出售-新溉大道,近东湖南路","30㎡"
"杨家坪精装修智能家电看江公寓 读实验 总价40万起","59","12553元/㎡","2室1厅1卫","蚂蚁公馆-石坪桥二手房出售-杨渡路,近兴堰路","47㎡"
"黄泥磅 紫荆商业广场旁 中央香寓 精装单配 出行便捷","65","15116元/㎡","1室1卫","中央香寓-五里店二手房出售-天和路3号","43㎡"
"天星桥正街 菜市场对面 宏城大厦 精装修3房带阳台","165","12313元/㎡","3室2厅2卫","宏城大厦-天星桥二手房出售-天星桥正街42号附1号","134㎡"
"冉家坝 轻轨站旁 出行方便朝小区 安静 视野无敌","53","15142元/㎡","1室","荣锦龙汇苑-龙溪二手房出售-新南路299号","35㎡"
"融侨花样派拎包入住3房，看房方便。嘉禾美丽，手慢就没有了额","170","18478元/㎡","3室2厅1卫","金辉城春上南...-铜元局二手房出售-风临路3号","92㎡"
"融创国博城 一期洋房平层 正三房带院馆 可做4房 一梯两户","220","17322元/㎡","4室2厅2卫","融创国博城-悦来二手房出售-悦城路36号","127㎡"
"大学城一中旁，金科廊桥天都正规二室，使用面积大，读树人小学","83","11216元/㎡","2室2厅1卫","金科廊桥水乡...-大学城二手房出售-纵五路,近至大南路","74㎡"
"渝北回兴莺歌小区精装二房户型方正l拎包入住","65","7492元/㎡","2室2厅1卫","莺歌小区-回兴二手房出售-兴科大道364号","86㎡"
"裕城理想精装三房新城区域发展中心城市！！","71.8","8348元/㎡","3室2厅1卫","裕城理想-金龙大道","86㎡"
"实拍图，蔡家轻轨旁豪装三室 5年内房龄，三间大卧室","139.9","11467元/㎡","3室2厅2卫","中央华府-其他二手房出售-天堂路93号","122㎡"
"南坪商圈 万达旁 星宇花园精装三房售135万 拎包入住 急售","135","13500元/㎡","3室2厅1卫","星宇花园-南坪二手房出售-南坪东路11号","100㎡"
"江北区海尔路 双轻轨小户型 华融现代城 读观音桥","86","10487元/㎡","3室2厅1卫","华融现代城-铁山坪二手房出售-港兴路11号","82㎡"
"真 龙头寺 中渝梧桐郡洋房 精装4室2厅350万","350","23062元/㎡","4室2厅2卫","中渝梧桐郡-龙头寺二手房出售-兴胜支路1号","151㎡"
"微客公馆精装一室一厅 配套齐全交通便利 送品牌家电家具","52.9","12302元/㎡","1室1厅1卫","葛洲坝微客公...-陈家桥二手房出售-大学城东路72号","43㎡"
"西城的湖 精装大三房 住家装修 大学城一中对面 读沙小","105","12068元/㎡","3室2厅1卫","西城的湖-大学城二手房出售-大学城中路21号","87㎡"
"北滨路 北岸江山西区 两室两厅 住家装修 采光好","155","17331元/㎡","2室2厅1卫","国兴北岸江山...-大石坝二手房出售-北滨一路456号","89㎡"
"西永万达3房2厅2卫建面121.62平米可以改4房可以按揭","120","12000元/㎡","3室2厅2卫","龙湖拉特芳斯-土主二手房出售-西双大道16号","100㎡"
"精装修2房 采光好 住家安静 北岸江山西区德芙 就是这么丝滑","156","17443元/㎡","2室2厅1卫","国兴北岸江山...-大石坝二手房出售-北滨一路456号","89㎡"
"红土地 长安丽都 住家装修  业主急卖 73万","73","15208元/㎡","1室1厅1卫","长安丽都-五里店二手房出售-洋河东路3号","48㎡"
"天籁城街面 98平 69.9万 清水 电梯 出行方便 好停车","69.9","7132元/㎡","3室2厅2卫","金科天籁城-其他二手房出售-宏声大道52号","98㎡"
"渝北回兴轻轨旁欢乐颂三房两厅挑高5.1米水电气三通首付6成可","88","14193元/㎡","3室2厅2卫","回兴欢乐颂-两路二手房出售-兴科大道222号","62㎡"
"金开大道 融创金开融府 品质大盘 独拼 下沉式花园 特价房","406","17652元/㎡","5室3厅5卫","融创金开融府...-回兴二手房出售-金开大道","230㎡"
"江北区海尔路 双轻轨小户型 华融现代城 读观音桥","86","10487元/㎡","3室2厅1卫","华融现代城-铁山坪二手房出售-港兴路11号","82㎡"
"一线江景房户型方正，住家安静,采光好住家舒适","188","14920元/㎡","3室2厅2卫","宝嘉江枫美岸-沙滨路二手房出售-沙滨路58号","126㎡"
"品质风花树，紧邻xuexiao，公园。居家安静安逸，急售房源","92","12266元/㎡","2室2厅1卫","康利尔风花树-鱼洞二手房出售-龙洲大道10号","75㎡"
"业主生意亏损 和泓洋房 带露台 花园 首付仅40万 可公积金","125","8116元/㎡","3室2厅2卫","和泓四季B1...-中梁山二手房出售-锦苑路","154㎡"
"蓝光COCO时代 精装小3房51平 附赠20平 少见带外阳台","120","23378元/㎡","3室2厅1卫","蓝光COCO...-弹子石二手房出售-腾龙大道38号","51㎡"
"庆隆高尔夫叠拼别墅 双车位环境优美 背靠南山正看高尔夫球场","195","17410元/㎡","5室2厅3卫","庆隆南山高尔...-茶园新区二手房出售-玉马路1号","112㎡"
"龙头寺公园旁，桐林逸景，清水三房带院馆，可改四房，小区新","185","18711元/㎡","3室2厅2卫","桐林逸景-龙头寺二手房出售-上域街5号附42号","98㎡"
"业主急售 豪华装修2房 首付35万  可看江 新小区 可看房","90","15316元/㎡","2室2厅1卫","芭厘芭厘二期-四公里二手房出售-南湖支路29号","58㎡"
"特惠特惠 轻轨3号沿线  建面8500  户型方正 配套成熟","71","8352元/㎡","3室2厅1卫","申烨太阳城一...-李家沱二手房出售-渝南大道158号附45...","85㎡"
"巴南楼盘 周末特中特 建面8500 轻轨3号线 先到先得！","48","8275元/㎡","2室2厅1卫","申烨太阳城一...-李家沱二手房出售-渝南大道158号附45...","58㎡"
"渝北民安大道 轻轨4号线 金地豪苑 精装一房 视野开阔 急售","65.8","16450元/㎡","1室1厅1卫","金地豪苑-人和二手房出售-民安大道447号","40㎡"
"复地天玺 精装大四房 板式结构 视野霸道  带指标","250","15923元/㎡","4室2厅2卫","复地天玺-鸳鸯二手房出售-金渝大道，近金开大道","157㎡"
"3号线 南坪一米阳光 精装两居室 小区次新 带指标 业主急售","115","15753元/㎡","2室2厅1卫","一米阳光-经开区二手房出售-双峰山路15号","73㎡"
"南坪兰湖天 小两房出售","86","15127元/㎡","2室1厅1卫","兰湖天-四公里二手房出售-回龙路68号","56㎡"
"恒大三层双拼 坐西向东依山傍水 享两亩花园 视野广阔明堂苍翠","350","10510元/㎡","5室2厅5卫","恒大金碧天下...-恒大大道1号","333㎡"
"出门就是轻轨 商圈 正规两房 业主住家装修 拎包入住","165","20121元/㎡","2室2厅1卫","北大资源博雅...-汽博中心二手房出售-湖霞街","82㎡"
"碧桂园 麓铭府 套内面积96 三房  单价1w1左右","105","10937元/㎡","3室2厅2卫","麓铭府-界石二手房出售-东城大道","96㎡"
"318万买庆隆南山高尔夫联排别墅 31结构 土建已做好","318","13250元/㎡","5室2厅4卫","庆隆南山高尔...-茶园新区二手房出售-玉马路1号","240㎡"
"茶园新区，湖光山色的纯洋房洋墅区域 欢迎来电 实地看房","160","11347元/㎡","3室2厅2卫","光华安纳溪湖-茶园新区二手房出售-米兰大道19号","141㎡"
"安纳溪湖 正规四房 全朝中庭 楼层高观景房 四面采光通透","139","13238元/㎡","4室2厅2卫","光华安纳溪湖-茶园新区二手房出售-米兰大道19号","105㎡"
"江北嘴对面 来福士广场 豪装大平层 独揽两江交汇 重庆地标","800","39980元/㎡","4室2厅2卫","重庆来福士广...-朝天门二手房出售-陕西路9号","200㎡"
"锦江华府 110万买弹子石住家两房 环境优美低密度楼下公交站","110","19410元/㎡","2室2厅1卫","锦江华府-弹子石二手房出售-腾龙大道50号","56㎡"
